File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,Rigid,0.01,2.111,21.7,30.98,0.006
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,Rigid,0.05,5.981,7.6,30.98,0.415
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,Rigid,0.1,10.973,4.2,30.98,0.264
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,BSpline,0.01,7.326,50.2,0.0,0.0
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,BSpline,0.05,34.986,10.5,0.0,0.0
DCE_0020.nii.gz,True,"(512, 512, 29, 5)","(512, 275, 29, 5)",0.4629,6749465.5,2543726.0,1777196.12,BSpline,0.1,70.282,5.2,0.0,0.0
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,Rigid,0.01,2.575,15.5,25.06,0.196
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,Rigid,0.05,4.885,8.2,25.06,0.543
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,Rigid,0.1,8.171,4.9,25.06,0.375
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,BSpline,0.01,6.014,50.2,0.0,0.0
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,BSpline,0.05,31.991,9.4,0.0,0.0
DCE_0120.nii.gz,True,"(512, 512, 29, 5)","(512, 289, 29, 5)",0.4355,11882415.0,8649254.0,8022417.0,BSpline,0.1,60.181,5.0,0.0,0.0
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,Rigid,0.01,2.378,15.9,0.13,0.009
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,Rigid,0.05,5.387,7.0,0.13,0.004
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,Rigid,0.1,9.217,4.1,0.13,0.03
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,BSpline,0.01,8.713,35.4,0.01,0.0
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,BSpline,0.05,35.603,8.7,0.01,0.0
DCE_0220.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,675409.62,240798.22,176193.83,BSpline,0.1,66.276,4.7,0.01,0.0
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,Rigid,0.01,2.276,17.6,0.62,0.128
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,Rigid,0.05,5.417,7.4,0.62,0.059
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,Rigid,0.1,9.091,4.4,0.62,0.023
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,BSpline,0.01,9.605,39.5,0.01,0.0
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,BSpline,0.05,44.253,8.6,0.01,0.0
DCE_05020.nii.gz,True,"(256, 256, 72, 5)","(231, 256, 72, 5)",0.0977,45.0,22.0,10.0,BSpline,0.1,76.959,4.9,0.01,0.0
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,Rigid,0.01,5.872,20.5,3.9,0.125
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,Rigid,0.05,17.116,7.0,3.9,0.219
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,Rigid,0.1,28.814,4.2,3.9,0.08
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,BSpline,0.01,9.232,41.8,0.01,0.0
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,BSpline,0.05,41.63,9.3,0.01,0.0
DCE_05121.nii.gz,True,"(512, 512, 34, 4)","(495, 512, 34, 4)",0.0332,40.0,17.0,10.0,BSpline,0.1,79.203,4.9,0.01,0.0
