File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,Rigid,0.01,2.59,16.2,43.8,17.396
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,Rigid,0.05,6.176,6.8,43.8,0.214
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,Rigid,0.1,9.179,4.6,43.8,1.875
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,BSpline,0.01,10.604,39.7,0.0,0.0
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,BSpline,0.05,36.913,11.4,0.0,0.0
DCE_0010.nii.gz,True,"(512, 512, 29, 5)","(512, 283, 29, 5)",0.4473,5885332.0,2016818.0,1405081.88,BSpline,0.1,81.291,5.2,0.0,0.0
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,Rigid,0.01,2.195,22.7,0.59,0.016
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,Rigid,0.05,6.858,7.3,0.59,0.004
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,Rigid,0.1,10.906,4.6,0.59,0.005
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,BSpline,0.01,9.408,39.2,0.03,0.001
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,BSpline,0.05,36.899,10.0,0.03,0.0
DCE_0110.nii.gz,True,"(512, 512, 29, 5)","(512, 202, 29, 5)",0.6055,1664864.5,527207.06,342222.16,BSpline,0.1,73.601,5.0,0.03,0.0
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,Rigid,0.01,3.79,16.9,0.98,0.07
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,Rigid,0.05,9.395,6.8,0.98,0.013
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,Rigid,0.1,16.918,3.8,0.98,0.017
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,BSpline,0.01,12.611,37.8,0.03,0.002
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,BSpline,0.05,53.377,8.9,0.03,0.0
DCE_0210.nii.gz,True,"(512, 512, 29, 5)","(512, 280, 29, 5)",0.4531,18947.45,9043.1,5705.77,BSpline,0.1,97.212,4.9,0.03,0.0
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,Rigid,0.01,3.402,14.6,0.42,0.007
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,Rigid,0.05,8.309,6.0,0.42,0.001
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,Rigid,0.1,13.093,3.8,0.42,0.009
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,BSpline,0.01,13.905,41.7,0.03,0.002
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,BSpline,0.05,57.085,10.2,0.03,0.0
DCE_05010.nii.gz,True,"(256, 256, 88, 4)","(222, 248, 88, 4)",0.1599,116.0,47.0,21.0,BSpline,0.1,115.016,5.0,0.03,0.0
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,Rigid,0.01,4.637,15.0,0.18,0.002
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,Rigid,0.05,10.281,6.8,0.18,0.019
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,Rigid,0.1,17.795,3.9,0.18,0.009
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,BSpline,0.01,9.789,26.1,0.01,0.008
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,BSpline,0.05,37.867,6.8,0.01,0.004
DCE_05110.nii.gz,True,"(256, 256, 108, 6)","(236, 254, 108, 6)",0.0853,509.0,119.0,71.0,BSpline,0.1,70.132,3.6,0.01,0.004
