File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,Rigid,0.01,1.885,15.8,9.15,0.534
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,Rigid,0.05,4.211,7.1,9.15,0.109
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,Rigid,0.1,5.094,5.9,9.15,0.017
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,BSpline,0.01,6.414,47.6,0.01,0.0
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,BSpline,0.05,29.903,10.2,0.01,0.0
DCE_0000.nii.gz,True,"(256, 256, 75, 6)","(212, 192, 75, 6)",0.3789,293828.47,0.0,0.0,BSpline,0.1,57.78,5.3,0.01,0.0
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,Rigid,0.01,1.415,22.0,4.78,2.551
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,Rigid,0.05,4.021,7.7,4.78,0.701
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,Rigid,0.1,6.515,4.8,4.78,0.095
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,BSpline,0.01,6.677,34.2,0.02,0.001
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,BSpline,0.05,25.019,9.1,0.02,0.0
DCE_0100.nii.gz,True,"(256, 256, 75, 6)","(223, 192, 75, 6)",0.3467,148185.69,3446.18,0.0,BSpline,0.1,47.177,4.8,0.02,0.0
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,Rigid,0.01,3.893,13.5,13.29,2.254
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,Rigid,0.05,8.606,6.1,13.29,0.038
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,Rigid,0.1,14.384,3.6,13.29,0.753
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,BSpline,0.01,11.202,37.0,0.0,0.0
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,BSpline,0.05,45.719,9.1,0.0,0.0
DCE_0200.nii.gz,True,"(512, 512, 32, 5)","(512, 297, 32, 5)",0.4199,16179271.0,12839244.0,12207699.0,BSpline,0.1,84.999,4.9,0.0,0.0
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,Rigid,0.01,4.299,15.6,1.2,0.058
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,Rigid,0.05,9.503,7.1,1.2,0.198
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,Rigid,0.1,15.0,4.5,1.2,0.164
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,BSpline,0.01,17.23,37.8,0.01,0.001
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,BSpline,0.05,69.291,9.4,0.01,0.0
DCE_05000.nii.gz,True,"(256, 256, 92, 4)","(238, 256, 92, 4)",0.0703,201.0,75.0,42.0,BSpline,0.1,135.474,4.8,0.01,0.0
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,Rigid,0.01,2.388,13.3,0.42,0.005
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,Rigid,0.05,4.888,6.5,0.42,0.005
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,Rigid,0.1,8.726,3.6,0.42,0.011
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,BSpline,0.01,8.898,36.9,0.03,0.001
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,BSpline,0.05,36.242,9.1,0.03,0.0
DCE_05100.nii.gz,True,"(256, 256, 56, 5)","(212, 256, 56, 5)",0.1719,87.0,14.0,6.0,BSpline,0.1,33.877,9.7,0.03,0.0
