File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,Rigid,0.01,4.577,20.2,7.08,0.113
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,Rigid,0.05,11.892,7.8,7.08,0.012
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,Rigid,0.1,20.8,4.5,7.08,0.15
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,BSpline,0.01,14.488,44.7,0.0,0.0
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,BSpline,0.05,69.028,9.4,0.0,0.0
DCE_0060.nii.gz,True,"(512, 512, 33, 5)","(512, 309, 33, 5)",0.3965,11832333.0,8959324.0,8613448.0,BSpline,0.1,125.907,5.1,0.0,0.0
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,Rigid,0.01,4.293,19.7,0.18,0.019
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,Rigid,0.05,9.714,8.7,0.18,0.008
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,Rigid,0.1,17.26,4.9,0.18,0.006
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,BSpline,0.01,14.396,39.1,0.01,0.0
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,BSpline,0.05,62.929,8.9,0.01,0.0
DCE_0160.nii.gz,True,"(512, 512, 29, 5)","(512, 301, 29, 5)",0.4121,943326.88,201676.78,149631.16,BSpline,0.1,112.696,5.0,0.01,0.0
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,Rigid,0.01,2.897,23.6,0.47,0.051
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,Rigid,0.05,9.903,6.9,0.47,0.027
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,Rigid,0.1,17.288,4.0,0.47,0.016
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,BSpline,0.01,5.587,81.6,0.02,0.001
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,BSpline,0.05,23.533,19.4,0.02,0.0
DCE_0260.nii.gz,True,"(512, 512, 29, 5)","(512, 300, 29, 5)",0.4141,747748.56,403784.25,261712.0,BSpline,0.1,45.86,9.9,0.02,0.0
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,Rigid,0.01,1.795,17.8,1.54,0.691
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,Rigid,0.05,4.565,7.0,1.54,0.147
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,Rigid,0.1,6.903,4.6,1.54,0.271
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,BSpline,0.01,7.698,37.9,0.02,0.0
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,BSpline,0.05,29.492,9.9,0.02,0.001
DCE_05060.nii.gz,True,"(256, 256, 60, 3)","(252, 144, 60, 3)",0.4463,106.0,41.0,21.0,BSpline,0.1,58.602,5.0,0.02,0.0
