File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,Rigid,0.01,3.878,15.9,0.35,0.056
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,Rigid,0.05,7.335,8.4,0.35,0.003
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,Rigid,0.1,13.57,4.5,0.35,0.001
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,BSpline,0.01,12.492,38.1,0.02,0.001
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,BSpline,0.05,48.701,9.8,0.02,0.0
DCE_0040.nii.gz,True,"(512, 512, 29, 5)","(512, 307, 29, 5)",0.4004,570785.38,261889.77,181308.3,BSpline,0.1,96.992,4.9,0.02,0.0
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,Rigid,0.01,3.976,17.0,0.67,0.027
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,Rigid,0.05,9.179,7.4,0.67,0.013
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,Rigid,0.1,15.31,4.4,0.67,0.003
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,BSpline,0.01,12.096,40.4,0.01,0.0
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,BSpline,0.05,49.819,9.8,0.01,0.0
DCE_0140.nii.gz,True,"(512, 512, 29, 5)","(512, 354, 29, 5)",0.3086,403759.78,166887.38,129203.13,BSpline,0.1,98.276,5.0,0.01,0.0
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,Rigid,0.01,2.996,18.5,0.51,0.054
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,Rigid,0.05,6.779,8.2,0.51,0.005
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,Rigid,0.1,11.872,4.7,0.51,0.026
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,BSpline,0.01,10.591,37.9,0.02,0.001
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,BSpline,0.05,42.295,9.5,0.02,0.0
DCE_0240.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,814840.38,367045.22,234908.94,BSpline,0.1,80.3,5.0,0.02,0.0
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,Rigid,0.01,2.297,14.9,0.28,0.056
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,Rigid,0.05,5.011,6.8,0.28,0.029
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,Rigid,0.1,7.994,4.3,0.28,0.007
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,BSpline,0.01,12.879,38.7,0.02,0.001
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,BSpline,0.05,39.588,12.6,0.02,0.0
DCE_05040.nii.gz,True,"(256, 256, 84, 4)","(233, 256, 84, 4)",0.0898,72.0,39.0,16.0,BSpline,0.1,48.798,10.2,0.02,0.0
