File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,Rigid,0.01,4.414,14.6,17.54,4.72
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,Rigid,0.05,9.907,6.5,17.54,1.442
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,Rigid,0.1,14.429,4.5,17.54,0.8
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,BSpline,0.01,14.096,37.2,0.0,0.0
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,BSpline,0.05,55.684,9.4,0.0,0.0
DCE_0090.nii.gz,True,"(512, 512, 31, 5)","(512, 339, 31, 5)",0.3379,5047729.0,1664086.62,1220330.12,BSpline,0.1,107.107,4.9,0.0,0.0
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,Rigid,0.01,4.906,17.4,1.24,1.118
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,Rigid,0.05,10.336,8.2,1.24,0.436
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,Rigid,0.1,23.825,3.6,1.24,0.011
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,BSpline,0.01,17.016,39.8,0.0,0.0
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,BSpline,0.05,71.704,9.4,0.0,0.0
DCE_0190.nii.gz,True,"(512, 512, 29, 5)","(512, 372, 29, 5)",0.2734,17715634.0,10796286.0,10618867.0,BSpline,0.1,131.294,5.2,0.0,0.0
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,Rigid,0.01,5.616,18.1,4.06,0.385
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,Rigid,0.05,12.699,8.0,4.06,0.916
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,Rigid,0.1,22.811,4.5,4.06,0.165
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,BSpline,0.01,21.504,37.6,0.0,0.001
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,BSpline,0.05,87.879,9.2,0.0,0.0
DCE_0290.nii.gz,True,"(512, 512, 31, 5)","(436, 508, 31, 5)",0.1551,11233467.0,10079616.0,9655211.0,BSpline,0.1,173.708,4.7,0.0,0.0
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,Rigid,0.01,11.101,19.6,1.0,0.069
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,Rigid,0.05,30.722,7.1,1.0,0.039
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,Rigid,0.1,51.215,4.2,1.0,0.016
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,BSpline,0.01,17.207,62.7,0.02,0.0
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,BSpline,0.05,73.323,14.7,0.02,0.0
DCE_05090.nii.gz,True,"(512, 512, 48, 4)","(474, 510, 48, 4)",0.0778,63.0,22.0,13.0,BSpline,0.1,144.697,7.5,0.02,0.0
