File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,Rigid,0.01,2.478,15.3,1.32,0.189
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,Rigid,0.05,5.78,6.6,1.32,0.007
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,Rigid,0.1,7.84,4.8,1.32,0.087
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,BSpline,0.01,7.495,34.5,0.01,0.0
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,BSpline,0.05,28.874,9.0,0.01,0.0
DCE_0080.nii.gz,True,"(256, 256, 75, 6)","(214, 204, 75, 6)",0.3339,308754.28,0.0,0.0,BSpline,0.1,53.919,4.8,0.01,0.0
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,Rigid,0.01,2.177,21.8,19.75,4.854
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,Rigid,0.05,6.1,7.8,19.75,0.576
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,Rigid,0.1,12.363,3.8,19.75,0.511
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,BSpline,0.01,10.513,35.2,0.0,0.001
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,BSpline,0.05,34.897,10.6,0.0,0.0
DCE_0180.nii.gz,True,"(512, 512, 29, 5)","(512, 325, 29, 5)",0.3652,18832654.0,15569787.0,14898235.0,BSpline,0.1,72.199,5.1,0.0,0.0
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,Rigid,0.01,1.935,21.6,41.55,10.528
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,Rigid,0.05,4.904,8.5,41.55,4.197
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,Rigid,0.1,8.532,4.9,41.55,2.479
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,BSpline,0.01,8.411,38.1,0.0,0.0
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,BSpline,0.05,35.911,8.9,0.0,0.0
DCE_0280.nii.gz,True,"(512, 512, 29, 5)","(512, 302, 29, 5)",0.4102,5020349.5,1750436.25,1258126.0,BSpline,0.1,67.654,4.7,0.0,0.0
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,Rigid,0.01,3.089,14.8,1.74,0.051
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,Rigid,0.05,6.81,6.7,1.74,0.12
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,Rigid,0.1,11.416,4.0,1.74,0.072
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,BSpline,0.01,4.818,69.2,0.01,0.0
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,BSpline,0.05,21.432,15.6,0.01,0.0
DCE_05080.nii.gz,True,"(256, 256, 80, 4)","(210, 256, 80, 4)",0.1797,73.0,16.0,13.0,BSpline,0.1,39.995,8.3,0.01,0.0
