File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,Rigid,0.01,3.045,21.0,4.23,0.051
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,Rigid,0.05,7.574,8.4,4.23,0.075
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,Rigid,0.1,13.3,4.8,4.23,0.242
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,BSpline,0.01,10.104,44.3,0.0,0.0
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,BSpline,0.05,47.472,9.4,0.0,0.0
DCE_0030.nii.gz,True,"(512, 512, 29, 4)","(512, 260, 29, 4)",0.4922,200452.8,162662.52,157214.48,BSpline,0.1,87.813,5.1,0.0,0.0
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,Rigid,0.01,4.215,13.9,16.58,1.182
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,Rigid,0.05,7.532,7.8,16.58,0.094
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,Rigid,0.1,12.902,4.5,16.58,0.035
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,BSpline,0.01,6.71,63.8,0.0,0.001
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,BSpline,0.05,23.375,18.3,0.0,0.001
DCE_0130.nii.gz,True,"(512, 512, 31, 5)","(512, 330, 31, 5)",0.3555,9954474.0,6960694.0,6446235.0,BSpline,0.1,88.919,4.8,0.0,0.0
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,Rigid,0.01,2.495,20.2,2.6,0.222
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,Rigid,0.05,7.579,6.6,2.6,0.331
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,Rigid,0.1,14.04,3.6,2.6,0.004
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,BSpline,0.01,9.989,36.1,0.0,0.0
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,BSpline,0.05,41.712,8.7,0.0,0.0
DCE_0230.nii.gz,True,"(256, 256, 75, 6)","(240, 192, 75, 6)",0.2969,401546.31,0.0,0.0,BSpline,0.1,81.395,4.4,0.0,0.0
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,Rigid,0.01,3.302,19.5,0.39,0.007
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,Rigid,0.05,8.401,7.7,0.39,0.006
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,Rigid,0.1,15.674,4.1,0.39,0.006
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,BSpline,0.01,12.612,37.3,0.01,0.001
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,BSpline,0.05,42.816,11.0,0.01,0.0
DCE_05030.nii.gz,True,"(256, 256, 76, 4)","(196, 256, 76, 4)",0.2344,151.0,67.0,23.0,BSpline,0.1,96.563,4.9,0.01,0.0
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,Rigid,0.01,4.595,14.0,3.39,1.064
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,Rigid,0.05,9.732,6.6,3.39,1.786
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,Rigid,0.1,15.992,4.0,3.39,0.254
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,BSpline,0.01,9.401,45.9,0.01,0.0
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,BSpline,0.05,37.227,11.6,0.01,0.0
DCE_05131.nii.gz,True,"(256, 256, 116, 4)","(227, 255, 115, 4)",0.1244,103.0,38.0,17.0,BSpline,0.1,78.71,5.5,0.01,0.0
